84042001.0,Adams,102811
84042003.0,Allegheny,1218452
84042005.0,Armstrong,65263
84042007.0,Beaver,164742
84042009.0,Bedford,48176
84042011.0,Berks,420152
84042013.0,Blair,122492
84042015.0,Bradford,60833
84042017.0,Bucks,628195
84042019.0,Butler,187888
84042021.0,Cambria,131730
84042023.0,Cameron,4492
84042025.0,Carbon,64227
84042027.0,Centre,162805
84042029.0,Chester,522046
84042031.0,Clarion,38779
84042033.0,Clearfield,79388
84042035.0,Clinton,38684
84042037.0,Columbia,65456
84042039.0,Crawford,85063
84042041.0,Cumberland,251423
84042043.0,Dauphin,277097
84042045.0,Delaware,564751
84042047.0,Elk,30169
84042049.0,Erie,272061
84042051.0,Fayette,130441
84042053.0,Forest,7279
84042055.0,Franklin,154835
84042057.0,Fulton,14523
84042059.0,Greene,36506
84042061.0,Huntingdon,45168
84042063.0,Indiana,84501
84042065.0,Jefferson,43641
84042067.0,Juniata,24704
84042069.0,Lackawanna,210793
84042071.0,Lancaster,543557
84042073.0,Lawrence,86184
84042075.0,Lebanon,141314
84042077.0,Lehigh,368100
84042079.0,Luzerne,317646
84042081.0,Lycoming,113664
84042083.0,McKean,40968
84042085.0,Mercer,110683
84042087.0,Mifflin,46222
84042089.0,Monroe,169507
84042091.0,Montgomery,828604
84042093.0,Montour,18240
84042095.0,Northampton,304807
84042097.0,Northumberland,91083
84042099.0,Perry,46139
84042101.0,Philadelphia,1584138
84042103.0,Pike,55933
84042105.0,Potter,16622
84042107.0,Schuylkill,142067
84042109.0,Snyder,40540
84042111.0,Somerset,73952
84042113.0,Sullivan,6071
84042115.0,Susquehanna,40589
84042117.0,Tioga,40763
84042119.0,Union,44785
84042121.0,Venango,51266
84042123.0,Warren,39498
84042125.0,Washington,207346
84042127.0,Wayne,51276
84042129.0,Westmoreland,350611
84042131.0,Wyoming,27046
84042133.0,York,448273